WASP-33 b	2.8	1.603	1.21986967	0.02558	0	87.7	0.000221	2010	2020-07-13
HD 126614 A b	—	—	1244	2.35	0.41	—	0.032459	2010	2019-12-13
Kepler-444 A f	—	0.0571	9.740486	0.0811	0.58	87.96	—	2015	2019-12-13
HD 8673 A b	—	—	1634	3.02	0.723	—	0.078954	2010	2019-12-13
Kepler-444 A d	—	0.0455	6.189392	0.06	0.18	88.16	—	2015	2019-12-13
HD 4113 A b	—	—	526.62	1.28	0.903	—	0.029091	2007	2019-12-13
Kepler-444 A e	—	0.0473	7.743493	0.0696	0.02	89.13	—	2015	2019-12-13
HD 7449 A b	—	—	1255.5	2.38	0.92	—	0.058974	2011	2019-12-13
Kepler-444 A c	—	0.0446	4.5458841	0.04881	0.12	88.2	—	2015	2019-12-13
HD 7449 A c	—	—	15441	12.7	0	—	0.127179	2011	2019-12-13
Kepler-444 A b	—	0.0348	3.60001053	0.04178	0.08	88	—	2015	2019-12-13
Kepler-693 A b	—	0.908	15.37563332	—	—	—	—	2016	2019-12-13
K2-136 A b	—	0.088	7.975292	—	0.1	89.3	—	2017	2019-12-13
K2-136 A d	—	1.45	25.575065	—	0.14	89.4	—	2017	2019-12-13
K2-136 A c	—	0.267	17.307137	—	0.13	89.6	—	2017	2019-12-13
HAT-P-10 A b	0.46	1.045	3.722469	0.0439	0	89.8	0.000351	2008	2019-12-13
WASP-20 A b	0.313	1.459	4.8996285	0.06003	0	85.57	—	2011	2019-12-13
OGLE-2008-BLG-092L A b	0.18	—	—	15	—	—	—	2014	2019-12-13
Kepler-296 A c	—	0.192	5.841648	0.054	—	—	—	2014	2019-12-13
Kepler-296 A d	—	0.203	19.850242	0.122	—	—	—	2014	2019-12-13
Kepler-296 A e	—	0.156	34.142347	0.174	—	—	—	2014	2019-12-13
Kepler-296 A f	—	0.16	63.335879	0.263	—	—	—	2014	2019-12-13
Kepler-296 A b	—	0.084	3.621457	0.039	—	—	—	2014	2019-12-13
Kepler-21 A b	0.016	0.1462	2.78578	0.0427172	0.02	83.2	0.000394	2011	2019-12-13
HD 177830 A c	—	—	110.9	0.5137	0.3495	—	0.008707	2010	2019-12-13
HD 177830 A b	—	—	406.6	1.2218	0.0009	—	0.020708	1999	2019-12-13
HD 30856 A b	—	—	912	2	0.24	—	0.016935	2011	2019-12-13
HD 142 A b	—	—	349.7	1.02	0.17	—	0.049515	2001	2019-12-13
HD 142 A c	—	—	6005	6.8	0.21	—	0.330097	2012	2019-12-13
WASP-2 A b	0.847	1.079	2.15222144	0.03138	0	84.73	0.000218	2006	2019-12-13
HD 207832 A b	—	—	161.97	0.57	0.13	—	—	2012	2019-12-13
HD 207832 A c	—	—	1155.7	2.112	0.27	—	—	2012	2019-12-13
HD 197037 A b	—	—	1035.7	2.07	0.22	—	0.062727	2012	2019-12-13
HD 217786 A b	—	—	1319	2.38	0.4	—	0.043431	2010	2019-12-13
HD 116029 A b	—	—	670.2	1.73	0.21	—	0.014042	2011	2019-12-13
HD 116029 A c	—	—	907	—	0.038	—	—	2010	2019-12-13
HD 102365 A b	—	—	122.1	0.46	0.34	—	0.049784	2011	2019-12-13
HD 19994 A b	—	—	535.7	1.42	0.3	—	0.06345	2003	2019-12-13
tau Boo A b	5.84	1.06	3.31249	0.046	0.0787	45	0.002949	1996	2019-12-13
